team,firstName,lastName,position,jerseyNum,ovr,speed,acceleration,strength,agility,awareness,catching,carrying,throwPower,throwAccuracy,kickPower,kickAccuracy,runBlock,passBlock,tackle,jumping,kickReturn,injury,stamina,toughness,trucking,elusiveness,bCVision,stiffArm,spinMove,jukeMove,impactBlocking,runBlockStrength,runBlockFootwork,passBlockStrength,passBlockFootwork,powerMoves,finesseMoves,blockShedding,pursuit,playRecognition,manCoverage,zoneCoverage,spectacularCatch,catchInTraffic,routeRunning,hitPower,press,release,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,playAction,throwOnTheRun,height,weight,age
Patriots,Rob,Gronkowski,TE,87,99,84,88,88,85,92,95,75,27,22,21,20,92,69,20,84,10,86,93,95,88,55,87,84,74,76,64,81,74,65,64,10,10,43,40,22,12,17,94,98,89,25,25,95,15,10,6,6,10,78,265,27
Panthers,Luke,Kuechly,MLB,59,99,86,89,81,85,98,81,64,25,25,22,24,55,54,98,90,10,97,99,99,54,30,46,49,35,45,55,54,53,52,51,73,64,93,98,98,74,89,45,50,15,93,54,12,6,6,6,6,6,75,238,25
Broncos,Von,Miller,LOLB,58,99,87,89,85,87,92,47,65,19,18,21,15,45,45,94,80,10,93,92,88,40,35,40,35,45,54,45,45,45,45,45,92,98,95,98,92,64,74,40,20,15,89,60,35,6,6,6,6,6,75,250,27
Texans,J.J.,Watt,RE,99,99,79,84,97,77,94,78,67,20,19,10,10,45,45,95,87,10,97,95,94,60,32,55,49,33,35,45,45,45,45,45,99,92,98,97,94,25,55,71,70,54,87,15,62,6,6,6,6,6,77,289,27
Rams,Aaron,Donald,DT,99,98,83,90,94,82,82,43,45,20,25,25,21,45,45,90,76,10,95,91,87,32,15,25,29,25,21,45,45,45,45,45,98,82,98,89,82,30,35,20,15,10,76,10,12,6,6,6,6,6,73,285,25
Steelers,Antonio,Brown,WR,84,97,93,93,51,98,99,99,76,69,55,30,18,49,30,25,88,93,94,96,84,42,97,98,75,87,96,21,21,20,15,16,10,10,40,24,29,16,19,97,98,98,15,15,95,66,20,15,20,68,70,181,28
Chiefs,Justin,Houston,LOLB,50,97,83,86,85,84,89,46,40,36,19,37,16,45,45,93,77,10,93,91,80,40,15,10,10,25,25,45,45,45,45,45,98,91,93,94,89,66,78,20,15,15,91,24,25,6,6,6,6,6,75,258,27
Cowboys,Tyron,Smith,LT,77,97,72,82,88,78,92,56,55,35,32,25,21,98,97,45,74,11,87,88,86,10,21,10,10,10,10,93,90,95,94,96,10,10,40,39,10,12,12,37,48,35,20,10,15,6,6,6,6,6,77,320,25
Browns,Joe,Thomas,LT,73,97,69,77,93,73,95,40,50,16,25,21,23,93,98,45,74,10,98,96,96,10,25,10,10,10,10,93,91,93,96,98,40,30,37,55,30,12,12,25,30,25,35,10,35,6,6,6,6,6,78,312,31
Ravens,Marshal,Yanda,RG,73,97,61,80,93,67,91,32,40,20,25,20,20,98,96,45,64,10,93,85,99,25,10,10,10,10,10,86,86,88,87,91,10,10,25,23,10,12,12,12,10,10,15,10,12,6,6,6,6,6,75,305,31
Falcons,Julio,Jones,WR,11,96,93,93,74,94,97,98,78,45,35,25,15,51,50,44,96,68,89,93,95,74,88,94,79,84,83,60,65,60,58,54,10,10,45,49,20,19,25,97,95,94,15,15,97,15,10,6,6,10,75,220,27
Cardinals,Tyrann,Mathieu,FS,32,96,90,93,44,94,87,81,68,35,33,25,22,45,45,72,86,86,84,94,85,35,86,88,55,86,93,45,45,45,45,45,41,69,69,93,87,96,95,66,55,35,84,87,25,6,6,6,6,6,69,186,24
Packers,Aaron,Rodgers,QB,12,96,78,81,58,81,91,47,66,98,91,15,18,18,12,19,59,10,95,98,97,30,60,79,20,55,54,18,18,18,12,12,10,10,19,24,25,13,19,15,15,15,12,10,15,96,94,90,95,95,74,225,32
Bengals,Geno,Atkins,DT,97,94,77,82,89,71,93,25,40,25,25,20,20,45,45,78,75,10,85,90,80,30,12,15,40,10,10,45,45,45,45,45,98,71,93,88,93,15,25,15,15,15,65,15,15,6,6,6,6,6,73,303,28
Steelers,Le'Veon,Bell,HB,26,94,90,93,77,95,82,71,99,40,35,20,22,50,75,55,90,25,86,94,76,85,95,95,92,89,97,55,55,52,56,42,45,45,54,45,25,11,20,68,75,79,45,15,55,40,32,30,22,35,73,225,24
Patriots,Tom,Brady,QB,12,94,58,61,64,62,99,45,61,94,94,18,17,34,19,33,47,10,98,99,95,20,30,45,25,35,54,34,34,34,19,19,10,10,33,30,20,11,19,30,15,15,12,10,12,98,98,84,98,81,76,225,39
Raiders,Khalil,Mack,LOLB,52,94,87,89,84,88,83,60,60,32,25,24,22,45,45,93,94,10,97,95,92,55,46,55,49,60,55,45,45,45,45,45,98,88,93,92,83,63,78,52,54,15,86,45,25,6,6,6,6,6,75,252,25
Panthers,Cam,Newton,QB,1,94,86,89,81,90,87,67,83,97,88,24,22,39,32,44,88,14,97,95,99,76,87,96,82,87,89,35,33,28,32,30,10,10,41,55,25,11,30,49,33,22,20,10,25,94,93,87,88,95,77,245,27
Redskins,Josh,Norman,CB,24,94,90,92,59,92,93,82,64,35,35,20,20,47,45,64,85,35,97,94,87,28,67,58,31,73,82,45,45,45,45,45,45,49,44,82,93,92,97,81,48,25,64,86,33,6,6,6,6,6,72,200,28
Vikings,Harrison,Smith,FS,22,94,87,91,72,87,91,82,62,25,25,25,20,45,45,81,85,10,95,91,76,61,54,36,35,61,55,45,45,45,45,45,66,50,73,88,91,71,88,56,52,15,92,55,12,10,10,10,10,10,74,214,27
Giants,Odell,Beckham Jr.,WR,13,93,93,93,49,97,91,96,74,45,40,61,57,45,40,40,91,82,88,95,87,39,94,94,68,89,95,42,42,40,40,40,10,10,45,39,22,18,22,99,92,96,15,45,91,15,10,10,6,10,71,198,23
Chiefs,Eric,Berry,FS,29,93,91,90,57,87,87,79,67,20,14,22,12,45,45,77,93,60,91,85,92,55,83,75,45,78,87,45,45,45,45,45,49,62,68,86,87,81,89,77,70,20,86,72,20,15,10,10,15,15,72,211,27
Titans,Jurrell,Casey,RE,99,93,70,79,91,70,89,25,40,15,16,15,14,45,45,90,65,10,92,91,76,10,20,21,29,10,10,45,45,45,45,45,98,82,92,88,89,22,34,15,15,15,86,12,15,6,6,6,6,6,73,305,26
Eagles,Fletcher,Cox,DT,91,93,79,86,86,75,86,32,35,19,21,25,21,45,45,94,73,10,93,88,76,42,15,25,35,30,25,45,45,45,45,45,97,76,90,86,86,24,38,15,15,15,68,10,15,6,6,6,6,6,76,310,25
Bengals,A.J.,Green,WR,18,93,91,90,69,94,93,95,77,40,35,19,15,44,28,35,97,67,92,96,95,65,89,91,68,85,88,45,44,46,35,32,10,10,40,40,25,23,30,97,94,95,15,15,93,20,15,15,6,15,76,207,28
Broncos,Chris,Harris Jr.,CB,25,93,91,88,52,96,95,79,60,35,32,25,25,45,45,60,90,67,92,95,86,19,70,55,33,60,64,45,45,45,45,45,32,35,59,77,95,94,93,38,48,33,60,80,30,6,6,6,6,6,70,199,27
Texans,DeAndre,Hopkins,WR,10,93,92,93,66,91,96,97,79,35,30,20,20,41,44,42,92,72,94,93,90,54,76,88,72,77,87,49,44,41,42,40,30,32,45,30,35,32,35,98,96,95,35,40,92,15,10,10,15,15,73,207,24
Eagles,Malcolm,Jenkins,FS,27,93,86,92,64,89,88,76,60,21,20,22,19,45,45,77,90,25,96,97,92,40,50,75,26,75,82,45,45,45,45,45,66,65,68,84,88,78,91,45,56,50,76,83,30,6,6,6,6,6,72,204,28
Dolphins,Reshad,Jones,SS,20,93,87,89,72,86,87,79,60,25,25,25,25,45,45,83,90,35,91,93,70,45,40,55,40,55,65,45,45,45,45,45,72,59,78,91,87,70,81,55,50,35,91,52,12,15,10,10,15,15,73,215,28
Panthers,Greg,Olsen,TE,88,93,85,86,67,83,94,96,73,20,32,26,22,64,82,40,88,6,93,98,85,67,68,80,66,55,74,63,65,69,58,70,20,20,53,45,20,12,15,90,93,92,20,15,88,15,10,6,6,10,77,253,31
Steelers,Ben,Roethlisberger,QB,7,93,73,72,82,67,91,52,63,95,94,48,38,12,15,47,73,10,92,95,99,65,79,75,78,55,65,12,12,12,15,15,10,10,45,52,19,12,13,15,15,15,12,10,15,95,96,90,88,94,77,240,34
Dolphins,Ndamukong,Suh,DT,93,93,73,83,98,82,81,56,45,28,24,57,40,45,45,83,80,10,93,94,98,25,24,30,25,33,30,45,45,45,45,45,95,76,92,86,81,28,45,25,30,15,95,25,20,6,6,6,6,6,76,320,29
